method_name,text_col,val_experiment,acc_mean,acc_std,macro_f1_mean,macro_f1_std,seeds,total_params,trainable_params,macro_f1_base,delta_macro_f1_mean,delta_macro_f1_std,method_family,source_run
MLP,structured_features,E3_block_30,0.5209981227193149,0.0054853669820263,0.5156547353902375,0.0043966440562437,3,216583.0,216583.0,,-0.1609847190050488,0.0046252165055334,tabular,lightweight_tabular_full_3seed
MLP_MaskAug,structured_features,E3_block_50,0.572654981121728,0.0073888595875728,0.5725704259894823,0.0093206142601101,3,216583.0,216583.0,,-0.1311722281354581,0.0096991033209377,tabular,lightweight_tabular_full_3seed
tfidf_svm,text,E3_block_50,0.5986,0.0,0.4778132959622132,0.0,3,3969.0,3969.0,0.7010114331309435,-0.22319813716873027,0.0,text_baseline,lightweight_text_medium_3seed
MLP,structured_features,E3_block_50,0.4396211689763547,0.0032050319413145,0.4218829071968075,0.0021993312230636,3,216583.0,216583.0,,-0.2547565471984788,0.005304060490164,tabular,lightweight_tabular_full_3seed
tfidf_svm,text,E4_noise_10,0.72195,0.0,0.6751523723146137,0.0,3,3969.0,3969.0,0.7010114331309435,-0.025859060816329826,0.0,text_baseline,lightweight_text_medium_3seed
MLP_MaskAug,structured_features,E4_noise_10,0.652576515007699,0.0026367989146368,0.6653339334451803,0.0018521418563424,3,216583.0,216583.0,,-0.0384087206797602,0.0021210113542589,tabular,lightweight_tabular_full_3seed
MLP,structured_features,E4_noise_10,0.6416503195595773,0.0112651060236531,0.6515588981853765,0.0099102987627982,3,216583.0,216583.0,,-0.0250805562099099,0.005932653861318,tabular,lightweight_tabular_full_3seed
tfidf_svm,text,E4_noise_30,0.7078000000000001,0.0,0.6584247227649901,0.0,3,3969.0,3969.0,0.7010114331309435,-0.042586710365953406,0.0,text_baseline,lightweight_text_medium_3seed
MLP_MaskAug,structured_features,E4_noise_30,0.6068889873230822,0.0058217940629226,0.6180933953053928,0.0045783793122475,3,216583.0,216583.0,,-0.0856492588195477,0.0049248642029608,tabular,lightweight_tabular_full_3seed
MLP,structured_features,E4_noise_30,0.5897192516188909,0.0109804020341144,0.5939579515196871,0.0106860734414649,3,216583.0,216583.0,,-0.0826815028755992,0.0075713173112762,tabular,lightweight_tabular_full_3seed
tfidf_svm,text,E4_noise_50,0.6984499999999999,0.0,0.6410831779646752,0.0,3,3969.0,3969.0,0.7010114331309435,-0.05992825516626832,0.0,text_baseline,lightweight_text_medium_3seed
MLP_MaskAug,structured_features,E4_noise_50,0.5811343837667954,0.005192102592812,0.5882040979738474,0.0041876417920165,3,216583.0,216583.0,,-0.115538556151093,0.0044668157232028,tabular,lightweight_tabular_full_3seed
MLP,structured_features,E4_noise_50,0.5544516863886604,0.0069916989518107,0.5515329653969417,0.0077995949051602,3,216583.0,216583.0,,-0.1251064889983447,0.0047142278304686,tabular,lightweight_tabular_full_3seed
